number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state,Environment,Agent,params_exploration_fraction,params_target_update_interval,params_PPO_n_steps,params_ent_coef
62,-500.0,2023-12-11 23:14:32.558345,2023-12-11 23:15:45.244143,0 days 00:01:12.685798,447.0,0.973151203071546,0.0026673613631611,0.4112248369221158,COMPLETE,CartPole-v1,A2C,,,,
63,-500.0,2023-12-11 23:15:45.252145,2023-12-11 23:17:00.367176,0 days 00:01:15.115031,169.0,0.9600528158601024,0.0013724476104992,0.3860156201184385,COMPLETE,CartPole-v1,A2C,,,,
64,-500.0,2023-12-11 23:17:00.375177,2023-12-11 23:18:13.019714,0 days 00:01:12.644537,395.0,0.968935020133606,0.0033242761275983,0.435017265199047,COMPLETE,CartPole-v1,A2C,,,,
65,-500.0,2023-12-11 23:18:13.026705,2023-12-11 23:19:24.772330,0 days 00:01:11.745625,488.0,0.964351371579232,0.0020667450517141,0.3669567614655561,COMPLETE,CartPole-v1,A2C,,,,
66,-500.0,2023-12-11 23:19:24.780465,2023-12-11 23:20:38.748723,0 days 00:01:13.968258,451.0,0.9670781114810654,0.0046291067751188,0.4226473505910528,COMPLETE,CartPole-v1,A2C,,,,
67,-500.0,2023-12-11 23:20:38.755714,2023-12-11 23:21:55.135696,0 days 00:01:16.379982,124.0,0.9742451613071882,0.0017122883215148,0.4547443401939103,COMPLETE,CartPole-v1,A2C,,,,
68,-500.0,2023-12-11 23:21:55.144697,2023-12-11 23:23:08.959505,0 days 00:01:13.814808,295.0,0.9836751344012866,0.0024611175897177,0.4715448555204973,COMPLETE,CartPole-v1,A2C,,,,
69,-103.2,2023-12-11 23:23:08.967500,2023-12-11 23:24:19.629654,0 days 00:01:10.662154,423.0,0.9712184219770514,0.005386605480383,0.4449744792870021,COMPLETE,CartPole-v1,A2C,,,,
70,-500.0,2023-12-11 23:24:19.637657,2023-12-11 23:25:32.135459,0 days 00:01:12.497802,466.0,0.9342953227941724,0.0037374585833847,0.3312631104797376,COMPLETE,CartPole-v1,A2C,,,,
71,-500.0,2023-12-11 23:25:32.142450,2023-12-11 23:26:45.211045,0 days 00:01:13.068595,373.0,0.9766991611180948,0.0071922918177027,0.4906205137581603,COMPLETE,CartPole-v1,A2C,,,,
72,-135.4,2023-12-11 23:26:45.219159,2023-12-11 23:27:55.683387,0 days 00:01:10.464228,443.0,0.962216405296068,0.0054597674012708,0.4938123225781725,COMPLETE,CartPole-v1,A2C,,,,
73,-500.0,2023-12-11 23:27:55.691389,2023-12-11 23:29:08.844722,0 days 00:01:13.153333,356.0,0.9673838438667924,0.003259882127737,0.4788137927668188,COMPLETE,CartPole-v1,A2C,,,,
74,-184.3,2023-12-11 23:29:08.851712,2023-12-11 23:30:19.680344,0 days 00:01:10.828632,480.0,0.9610251222648478,0.004539950125517,0.4541183232456116,COMPLETE,CartPole-v1,A2C,,,,
75,-500.0,2023-12-11 23:30:19.688347,2023-12-11 23:31:32.059044,0 days 00:01:12.370697,405.0,0.9568538633301472,0.0026712023603229,0.4150403445972484,COMPLETE,CartPole-v1,A2C,,,,
76,-191.2,2023-12-11 23:31:32.066035,2023-12-11 23:32:43.837636,0 days 00:01:11.771601,393.0,0.9271356623860862,0.0012737597866797,0.3803040633727045,COMPLETE,CartPole-v1,A2C,,,,
77,-254.3,2023-12-11 23:32:43.844638,2023-12-11 23:33:55.175928,0 days 00:01:11.331290,458.0,0.9705018044012674,0.0022199834340683,0.4347474929494768,COMPLETE,CartPole-v1,A2C,,,,
78,-325.7,2023-12-11 23:33:55.182995,2023-12-11 23:35:12.243934,0 days 00:01:17.060939,85.0,0.930445492096452,0.0009384245767421,0.3665108861671902,COMPLETE,CartPole-v1,A2C,,,,
79,-455.0,2023-12-11 23:35:12.252444,2023-12-11 23:36:32.101429,0 days 00:01:19.848985,53.0,0.9650771632255448,0.0014923724137069,0.3940293268477742,COMPLETE,CartPole-v1,A2C,,,,
80,-265.4,2023-12-11 23:36:32.110724,2023-12-11 23:37:46.482618,0 days 00:01:14.371894,139.0,0.9535489432942406,0.0080732612529162,0.463783767274461,COMPLETE,CartPole-v1,A2C,,,,
81,-500.0,2023-12-11 23:37:46.489658,2023-12-11 23:38:58.814661,0 days 00:01:12.325003,471.0,0.9689980535005038,0.0062266579154997,0.3366106504084261,COMPLETE,CartPole-v1,A2C,,,,
82,-367.7,2023-12-11 23:38:58.822732,2023-12-11 23:40:10.176181,0 days 00:01:11.353449,483.0,0.975240292863672,0.0039977798611562,0.3498513668336521,COMPLETE,CartPole-v1,A2C,,,,
83,-500.0,2023-12-11 23:40:10.184247,2023-12-11 23:41:22.596539,0 days 00:01:12.412292,442.0,0.9734722418598328,0.0074231220596212,0.4819795387158549,COMPLETE,CartPole-v1,A2C,,,,
84,-500.0,2023-12-11 23:41:22.603583,2023-12-11 23:42:34.336282,0 days 00:01:11.732699,500.0,0.9777792929781436,0.005070235876173,0.3359712840186621,COMPLETE,CartPole-v1,A2C,,,,
85,-500.0,2023-12-11 23:42:34.344365,2023-12-11 23:43:46.702188,0 days 00:01:12.357823,419.0,0.9656162076541458,0.0099853604503003,0.3580221847041499,COMPLETE,CartPole-v1,A2C,,,,
86,-500.0,2023-12-11 23:43:46.710191,2023-12-11 23:45:01.868815,0 days 00:01:15.158624,211.0,0.96365072646046,0.0039095542950182,0.3204877398970941,COMPLETE,CartPole-v1,A2C,,,,
87,-500.0,2023-12-11 23:45:01.875816,2023-12-11 23:46:14.305378,0 days 00:01:12.429562,466.0,0.9726259692507152,0.0064408987798587,0.3095725364396784,COMPLETE,CartPole-v1,A2C,,,,
88,-174.7,2023-12-11 23:46:14.312422,2023-12-11 23:47:41.502278,0 days 00:01:27.189856,23.0,0.933063619250322,0.0032990446345592,0.4966360044609919,COMPLETE,CartPole-v1,A2C,,,,
89,-500.0,2023-12-11 23:47:41.509571,2023-12-11 23:48:53.225590,0 days 00:01:11.716019,486.0,0.9386568581821044,0.00233432361782,0.400072761934813,COMPLETE,CartPole-v1,A2C,,,,
90,-500.0,2023-12-11 23:48:53.232713,2023-12-11 23:50:07.504167,0 days 00:01:14.271454,263.0,0.9706539527992702,0.0018641921601014,0.3768919983327042,COMPLETE,CartPole-v1,A2C,,,,
91,-500.0,2023-12-11 23:50:07.512159,2023-12-11 23:51:26.053374,0 days 00:01:18.541215,68.0,0.94734965679064,0.0011641169276634,0.4107094365227001,COMPLETE,CartPole-v1,A2C,,,,
92,-500.0,2023-12-11 23:51:26.060375,2023-12-11 23:52:41.611503,0 days 00:01:15.551128,136.0,0.9426715930717764,0.0007789799708357,0.4440479313931875,COMPLETE,CartPole-v1,A2C,,,,
93,-500.0,2023-12-11 23:52:41.619669,2023-12-11 23:53:57.031024,0 days 00:01:15.411355,151.0,0.9507493697859852,0.0016002797218783,0.4265501645609074,COMPLETE,CartPole-v1,A2C,,,,
94,-500.0,2023-12-11 23:53:57.038118,2023-12-11 23:55:13.481580,0 days 00:01:16.443462,112.0,0.936521915340942,0.0010434939839611,0.3466020678616393,COMPLETE,CartPole-v1,A2C,,,,
95,-500.0,2023-12-11 23:55:13.489656,2023-12-11 23:56:30.681109,0 days 00:01:17.191453,94.0,0.9588489671886652,0.0017518221356723,0.4176164089391082,COMPLETE,CartPole-v1,A2C,,,,
96,-250.9,2023-12-11 23:56:30.687181,2023-12-11 23:57:41.714135,0 days 00:01:11.026954,434.0,0.95427366220385,0.0027368807486642,0.3927828672819121,COMPLETE,CartPole-v1,A2C,,,,
97,-449.4,2023-12-11 23:57:41.722138,2023-12-11 23:58:56.447980,0 days 00:01:14.725842,169.0,0.9614202055840784,0.0005400685851101,0.3286387253479351,COMPLETE,CartPole-v1,A2C,,,,
98,-500.0,2023-12-11 23:58:56.456972,2023-12-12 00:00:08.863949,0 days 00:01:12.406977,458.0,0.9656609259442094,0.0012824689080009,0.3631799762275339,COMPLETE,CartPole-v1,A2C,,,,
99,-500.0,2023-12-12 00:00:08.871943,2023-12-12 00:01:30.988258,0 days 00:01:22.116315,39.0,0.9750347373946544,0.0031678447108215,0.3831915511757222,COMPLETE,CartPole-v1,A2C,,,,
0,-12.3,2023-12-12 00:01:31.010268,2023-12-12 00:02:20.291658,0 days 00:00:49.281390,,0.906543164420804,2.755302799267677e-05,,COMPLETE,CartPole-v1,DQN,0.4603586410676048,1228.0,,
1,-9.8,2023-12-12 00:02:20.299696,2023-12-12 00:03:09.772084,0 days 00:00:49.472388,,0.904012123836606,2.709845784516074e-05,,COMPLETE,CartPole-v1,DQN,0.1669227278817416,581.0,,
2,-92.2,2023-12-12 00:03:09.782085,2023-12-12 00:03:58.708833,0 days 00:00:48.926748,,0.9954350572927936,0.0028231468208327,,COMPLETE,CartPole-v1,DQN,0.1893606687649292,851.0,,
3,-120.6,2023-12-12 00:03:58.715835,2023-12-12 00:04:48.215922,0 days 00:00:49.500087,,0.95290253498079,0.0042344228699144,,COMPLETE,CartPole-v1,DQN,0.2858843235416389,1568.0,,
4,-145.6,2023-12-12 00:04:48.225025,2023-12-12 00:05:38.455002,0 days 00:00:50.229977,,0.9336344375599612,7.88359428608556e-05,,COMPLETE,CartPole-v1,DQN,0.2417251078348192,1008.0,,
5,-197.1,2023-12-12 00:05:38.462003,2023-12-12 00:06:27.783157,0 days 00:00:49.321154,,0.9549901483757606,0.0002929588892953,,COMPLETE,CartPole-v1,DQN,0.4470621493593824,1100.0,,
6,-160.4,2023-12-12 00:06:27.791445,2023-12-12 00:07:17.172144,0 days 00:00:49.380699,,0.9669064275531292,0.0002066454428594,,COMPLETE,CartPole-v1,DQN,0.1264987418986653,849.0,,
7,-185.6,2023-12-12 00:07:17.179184,2023-12-12 00:08:06.685158,0 days 00:00:49.505974,,0.9179965879454286,0.0002067627923785,,COMPLETE,CartPole-v1,DQN,0.2090148353975345,1336.0,,
8,-10.1,2023-12-12 00:08:06.691159,2023-12-12 00:08:56.486861,0 days 00:00:49.795702,,0.910456887530784,1.6648035206483762e-05,,COMPLETE,CartPole-v1,DQN,0.1870484574521541,582.0,,
9,-83.6,2023-12-12 00:08:56.494991,2023-12-12 00:09:45.784050,0 days 00:00:49.289059,,0.9301580331663208,0.0004510002568738,,COMPLETE,CartPole-v1,DQN,0.2480180510023398,638.0,,
10,-151.6,2023-12-12 00:09:45.791054,2023-12-12 00:10:35.239495,0 days 00:00:49.448441,,0.9713827068724884,0.0009907846992343,,COMPLETE,CartPole-v1,DQN,0.410910907107923,1982.0,,
11,-197.5,2023-12-12 00:10:35.251497,2023-12-12 00:11:24.726060,0 days 00:00:49.474563,,0.930891421739272,0.000149582437818,,COMPLETE,CartPole-v1,DQN,0.374998880721758,1498.0,,
12,-162.8,2023-12-12 00:11:24.734141,2023-12-12 00:12:14.471657,0 days 00:00:49.737516,,0.9418785639045378,0.0001207408607057,,COMPLETE,CartPole-v1,DQN,0.3752709290246857,1664.0,,
13,-113.6,2023-12-12 00:12:14.478700,2023-12-12 00:13:03.749807,0 days 00:00:49.271107,,0.9544422516095006,0.0005332052395536,,COMPLETE,CartPole-v1,DQN,0.3536281818377355,1370.0,,
14,-134.7,2023-12-12 00:13:03.757809,2023-12-12 00:13:53.027159,0 days 00:00:49.269350,,0.9232165752006026,6.419690784594712e-05,,COMPLETE,CartPole-v1,DQN,0.4639145637332257,1096.0,,
15,-14.6,2023-12-12 00:13:53.035160,2023-12-12 00:14:42.304650,0 days 00:00:49.269490,,0.9394671285831004,0.0089236612915727,,COMPLETE,CartPole-v1,DQN,0.4960468808579121,1652.0,,
